"AA6V121";"ineo 368e";"ineo 368e. Цифрова монохромна система. Формат від А6 до A3/SRA3/banner (1200х297мм). Швидкість копіювання/друку до 36 стор./хв. Контролер друку Emperon™ з PCL 6с, PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Щільність носіїв для друку 52-300 г/м². Мережеве сканування та друк, Gigabit Ethernet. Масштабування 25-400%. В комплекті: фотоциліндр та девелопер, 2 універс. касети по 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 2GB, HDD 250GB. Термін служби до 800т стор. (до 5 років). Макс. навант./міс до 175т відб. Середнє навант./міс. до 13т відб.";800 000;10 637 500,00;2 127 500,00;12 765 000,00;3450,00
"4827000334";"ineo 458e";"ineo 458e. Цифрова монохромна система. Формат від А6 до A3/SRA3/banner (1200х297мм). Швидкість копіювання та друку до 45 стор./хв. DUAL SCAN автоподавач оригіналів сканування місткістю до 100 арк., швидкістю до 160 стор./хв. Контроллер Emperon PCL6c/ PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Щільність носіїв для друку 52-300 г/м². Мережеве сканування та друк, Gigabit Ethernet. В комплекті: фотоциліндр та девелопер, 2 універс. касети на 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 4GB станд., HDD 250GB. Термін служби до 1,8М стор. (до 5 років). Макс. навант./міс до 200т відб. Середнє навант./міс. до 30т відб.";1 800 000;15 416 666,67;3 083 333,33;18 500 000,00;5000,00
"4827000335";"ineo 558e";"ineo 558e. Цифрова монохромна система. Формат від А6 до A3/SRA3/banner (1200х297мм). Швидкість копіювання та друку до 55 стор./хв. DUAL SCAN автоподавач оригіналів сканування місткістю до 100 арк., швидкістю до 160 стор./хв. Контроллер Emperon PCL6c/ PostScript 3, PDF 1.7, XPS. Станд. місткість паперу 1150 арк. (макс. з опц. 6650 арк.) Щільність носіїв для друку 52-300 г/м². Мережеве сканування та друк, Gigabit Ethernet. В комплекті: фотоциліндр та девелопер, 2 універс. касети на 500 арк.(52-256 г/м²), дуплексний друк (52-256 г/м²), ручний боковий лоток 150 арк., пам'ять 4GB станд., HDD 250GB. Термін служби до 2М стор. (до 5 років). Макс. навант./міс до 250т відб. Середнє навант./міс. до 33т відб.";2 000 000;18 808 333,33;3 761 666,67;22 570 000,00;6100,00
"4827000336";"ineo 658e";"ineo 658e. Цифрова монохромна система швидкістю 65 стор./хв. ч/б (A4). Автоподавач оригіналів DualScan. Дуплекс. Контролер друку Emperon™ з підтримкою PCL 6, PCL 5, PostScript 3, PDF 1.7, XPS, OOXML. 2 касети паперу 500 + 500 арк. та 150 арк. лоток ручної подачі паперу. Формати від A6 до SRA3, 1.2 м банер, щільністю 52 – 300 г/м2. 4 GB пам’ять, 250 GB HDD та Gigabit Ethernet стандарт. Термін служби до 5М стор. (до 5 років). Макс. навант./міс до 300т відб. Середнє навант./міс. до 33т відб.";5 000 000;23 125 000,00;4 625 000,00;27 750 000,00;7500,00
"A795121";"ineo 758";"ineo 758. Цифрова монохромна система. Формат до A3/SRA3/банер. Швидкість копіюв./друку до 75 стор./хв. Контролер друку Emperon™ з PCL 5/6, PostScript 3, PDF 1.7, XPS та OOXML. Запас паперу станд. 3650арк. (макс. з опціями 6650 арк.). Папір від A6 до A3/SRA3/банер 1200х297мм, щільність 52–300 г/м2. 4GB RAM, HDD 250 Гб, Gigabit Ethernet. Стандартно: швидкісний Автоподавач оригіналів скан. DUALSCAN ADF (до 240 стор/хв). Двосторонній друк (дуплекс) [A5–SRA3; 52–256 г/м2]. Дві універсальні касети для паперу 500+500 арк. [A5–SRA3; 52–256 г/м2]. Дві касети 1500+1000 арк (A4; 52–256 г/м2). Боковий лоток ручного подавання на 150 арк. Фотоциліндр, девелопер. Термін служби до 5М стор. (до 5 років). Макс. навант./міс до 215т відб. Середнє навант./міс. до 80т відб.";5 000 000;28 983 333,33;5 796 666,67;34 780 000,00;9400,00
"A796121";"ineo 958";"ineo PRO 958: Цифрова продуктивна чорно-біла копіювальна система друку формату SRА3 з роздільною здатністю друку 1200 dpi (еквівалент 1800 x 600 dpi), швидкістю друку/копіювання 95 чорно-білих сторінок А4 формату за хвилину (5 700  за год.) та кольоровим сканером з роздільною здатністю 600 dpi. Макс. місячне навантаження 300 000 копій А4 формату. До стандартної комплектації входить: дуплекс (60 - 300 г/м²), 4 універсальніх лотка на 3 500 аркушів і лоток ручної подачі на 150, контролер друку Emperon (пам'ять на 4 GB RAM та жорсткий диск 250 GB), DF-703 автоподавач оригіналів сканування двостор. місткістю 300 арк., 120/240 ориг./хв. (одностор./двостор.), фотоциліндр та стартер.";7 500 000;37 000 000,00;7 400 000,00;44 400 000,00;12000,00
"4827000322";"ineo 1100";"ineo 1100: Цифрова продуктивна чорно-біла копіювальна система друку формату SRА3 (max. 324 x 463 мм, обл.друку 314 x 463 мм), з роздільною здатністю друку 1200 dpi, швидкістю друку/копіювання 100 чорно-білих сторінок А4 формату за хвилину (6 000  за год.) та кольоровим сканером з роздільною здатністю 1200 dpi. Макс. місячне навантаження 2 250 000 копій А4 формату. До стандартної комплектації входить: дуплекс (40 - 300 г/м²), 2 універсальніх лотка на 1 500, пам'ять на 8 GB RAM та жорсткий диск 1 000 GB, контролер друку PostScript/PCL, DF-702 Автоподавач оригіналів сканування двостор. місткістю 180 арк., 90/160 ориг./хв. (одностор./двостор.), фотоциліндр та стартер на 900 000 копій кожен.";45 000 000;47 791 666,67;9 558 333,33;57 350 000,00;15500,00
"4827000277";"ineo 1052e";"ineo 1052e: Цифрова продуктивна чорно-біла копіювальна система друку формату SRА3 (max. 324 x 463 мм, обл.друку 314 x 483 мм), з роздільною здатністю друку 1200 dpi, швидкістю друку/копіювання 105 чорно-білих сторінок А4 формату за хвилину (6 300  за год.) та сканером з роздільною здатністю 1200 dpi. Макс. місячне навантаження 2 000 000 копій А4 формату. До стандартної комплектації входить: дуплекс (40 - 300 г/м²), 2 універсальніх лотка на 1 500, пам'ять на 2 GB RAM та жорсткий диск 250GB, контролер друку PostScript/PCL, пристрій автоматичного вводу та перевороту оригіналу  місткістю 100 аркушів, фотоциліндр та стартер на 1 000 000 копій кожен.";90 000 000;78 625 000,00;15 725 000,00;94 350 000,00;25500,00
"4827000278";"ineo 1250e";"ineo 1250e: Цифрова продуктивна чорно-біла копіювальна система друку формату SRА3 (max. 324 x 463 мм, обл.друку 314 x 483 мм), з роздільною здатністю друку 1200 dpi, швидкістю друку/копіювання 125 чорно-білих сторінок А4 формату за хвилину (7 500  за год.) та сканером з роздільною здатністю 1200 dpi. Макс. місячне навантаження 3 000 000 копій А4 формату. До стандартної комплектації входить: дуплекс (40 - 300 г/м²), 2 універсальніх лотка на 1 500, пам'ять на 2 GB RAM та жорсткий диск 250GB, контролер друку PostScript/PCL, пристрій автоматичного вводу та перевороту оригіналу  місткістю 100 аркушів, фотоциліндр та стартер на 1 000 000 копій кожен.";90 000 000;112 541 666,67;22 508 333,33;135 050 000,00;36500,00
"9967004028";"KIP 770 K";"KIP 770 K: Багатофункціональна широкоформата монохромна копіювальна система друку формату А0 (ширина до  914 мм), з роздільною здатністю друку 600 x 1800dpi, швидкістю друку/копіювання 1,6  чорно-білих сторінок А0 формату за хвилину (96 за год.) та кольоровим сканером з роздільною здатністю 600 dpi. Середня місячна навантаження 1 000 п.м. До стандартної комплектації входить: рольової принтер з 1 блоком подачі та функцією монохромного копіювання і кольорового сканування, стіл для листової подачі, комплект ЧБ тонерів (2x200gm), силовий кабель.";"48 000 п.м";29 600 000,00;5 920 000,00;35 520 000,00;9600,00
