id,category,name,slug,provider,vendor_code,vendor,type_product,price,stock,available
14966,CATEGORY,"Пружина",pruzhina-aa063710,megatrade,AA063710,Ricoh,TYPE_PRODUCT,260,1,1
14967,CATEGORY,"Пружина",pruzhina-aa063443,megatrade,AA063443,Ricoh,TYPE_PRODUCT,81,1,1
14968,CATEGORY,"Стойка барабана фронтальна",stoika-barabana-frontalna-d0894666,megatrade,D0894666,Ricoh,TYPE_PRODUCT,666,1,1
14969,CATEGORY,"Термістор",termistor-aw100102,megatrade,AW100102,Ricoh,TYPE_PRODUCT,488,1,1
14970,CATEGORY,"Упорний ковпачок",upornii-kovpachok-b2342324,megatrade,B2342324,Ricoh,TYPE_PRODUCT,181,1,1
14971,CATEGORY,"Утримувач петлі лівий",utrimuvach-petli-livii-b2621667,megatrade,B2621667,Ricoh,TYPE_PRODUCT,182,1,1
14972,CATEGORY,"Ущільнювач фотобарабану передній",ushchilniuvach-fotobarabanu-perednii-aa152431,megatrade,AA152431,Ricoh,TYPE_PRODUCT,311,1,1
14973,CATEGORY,"Шестерня",shesternia-ab011386,megatrade,AB011386,Ricoh,TYPE_PRODUCT,64,1,1
14974,CATEGORY,"Шестерня",shesternia-ab012023,megatrade,AB012023,Ricoh,TYPE_PRODUCT,938,1,1
14975,CATEGORY,"Шестерня 30Z/30T",shesternia-30z-30t-ab017528,megatrade,AB017528,Ricoh,TYPE_PRODUCT,160,1,1
14976,CATEGORY,"Шестерня вузла закріплення №3",shesternia-vuzla-zakriplennia-3-m1331120,megatrade,M1331120,Ricoh,TYPE_PRODUCT,116,1,1
14977,CATEGORY,"Шків",shkiv-b2476694,megatrade,B2476694,Ricoh,TYPE_PRODUCT,1122,1,1
14978,CATEGORY,"Інструкція користувача російська",instruktsiia-koristuvacha-rosiiska-983746,megatrade,983746,Ricoh,TYPE_PRODUCT,348,1,1
14979,CATEGORY,"Інструкція користувача російська",instruktsiia-koristuvacha-rosiiska-913787,megatrade,913787,Ricoh,TYPE_PRODUCT,343,1,1
14980,CATEGORY,"Інструкція користувача російська",instruktsiia-koristuvacha-rosiiska-976799,megatrade,976799,Ricoh,TYPE_PRODUCT,271,1,1
14981,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-992566,megatrade,992566,Ricoh,TYPE_PRODUCT,766,1,1
14982,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-915289,megatrade,915289,Ricoh,TYPE_PRODUCT,383,1,1
14983,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-972000,megatrade,972000,Ricoh,TYPE_PRODUCT,449,1,1
14984,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-974886,megatrade,974886,Ricoh,TYPE_PRODUCT,471,1,1
14985,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-913787,megatrade,913787,Ricoh,TYPE_PRODUCT,337,1,1
14986,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-916908,megatrade,916908,Ricoh,TYPE_PRODUCT,368,1,1
14987,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для  DX 2430/DX 2330",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-dx-2430-dx-2330-971604,megatrade,971604,Ricoh,TYPE_PRODUCT,401,1,1
14988,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для  серії MPCXXX4EXSP",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-seriyi-mpcxxx4exsp-930070,megatrade,930070,Ricoh,TYPE_PRODUCT,690,1,1
14989,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для DD 5450",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-dd-5450-917201,megatrade,917201,Ricoh,TYPE_PRODUCT,810,1,1
14990,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для DD3324/DD3344",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-dd3324-dd3344-906654,megatrade,906654,Ricoh,TYPE_PRODUCT,708,1,1
14991,CATEGORY,"Інструкція користувача російською мовою на CD диску в комплекті з брошурою для IM CXX00 Series",instruktsiia-koristuvacha-rosiiskoiu-movoiu-na-cd-disku-v-komplekti-z-broshuroiu-dlia-im-cxx00-series-938989,megatrade,938989,Ricoh,TYPE_PRODUCT,557,1,1
